Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange
AFUA_1G04300		NA	-0.5
AFUA_1G04310		0.755946210905824	-0.3
AFUA_1G04315		NA	0.2
AFUA_1G04320		0.135352231473719	1
AFUA_1G04330		NA	0.3
AFUA_1G04340		NA	0.2
AFUA_1G04350		NA	-1.3
AFUA_1G04360		0.485005607911165	-0.5
AFUA_1G04370		0.0431008026844203	1.6
AFUA_1G04380		0.857580623932704	-0.2
AFUA_1G04390		NA	0
AFUA_1G04400		0.564340481264271	0.6
AFUA_1G04410		0.345524497988028	0.7
AFUA_1G04420		0.958350764014924	0.1
AFUA_1G04430		NA	0.2
AFUA_1G04440		0.983680661133372	0
AFUA_1G04450		0.793251599019673	-0.3
AFUA_1G04455		NA	-1.2
AFUA_1G04460		0.189152431142978	0.8
AFUA_1G04470		0.223522073637888	0.9
AFUA_1G04480		0.849038444081127	-0.2
AFUA_1G04490		0.425855058416745	-0.7
AFUA_1G04510		NA	0.5
AFUA_1G04520		0.846838348401315	0.2
AFUA_1G04530		0.126194050115377	1
AFUA_1G04540		0.648533575491647	0.3
AFUA_1G04550		0.189026037720004	0.8
AFUA_1G04560		0.917596012111614	-0.1
AFUA_1G04570		NA	-0.2
AFUA_1G04575		0.721118799933388	-0.5
AFUA_1G04580		NA	-1.3
AFUA_1G04590		0.9134468071597	-0.1
AFUA_1G04600		0.406011606008168	-0.7
AFUA_1G04610		0.709784990231494	0.3
AFUA_1G04620		0.764111408220263	-0.3
AFUA_1G04630		0.777806821928402	-0.2
AFUA_1G04640		0.806352585359834	0.2
AFUA_1G04660		0.218072441738354	1
AFUA_1G04670		0.98672423144902	0
AFUA_1G04680		0.826091255133745	-0.2
AFUA_1G04690		0.739587629439461	0.3
AFUA_1G04700		0.559979710669376	0.4
AFUA_1G04710		0.0608042349744569	1.6
AFUA_1G04720		0.906447467260423	0.2
AFUA_1G04730		NA	-1.3
AFUA_1G04740		NA	-0.7
AFUA_1G04750		NA	-0.2
AFUA_1G04760		0.658442473308853	0.3
AFUA_1G04770		NA	-0.3
AFUA_1G04780		0.822845879503404	0.2
AFUA_1G04790		0.656572416927591	-0.4
AFUA_1G04800		0.506701309711742	0.4
AFUA_1G04810		0.277493778804177	0.9
AFUA_1G04820		0.167017156657122	0.9
AFUA_1G04830		0.748115583026534	0.3
AFUA_1G04840		0.0482182029767177	1.4
AFUA_1G04850		0.556264763408084	0.4
AFUA_1G04860		0.210697269979448	0.8
AFUA_1G04870		NA	-1
AFUA_1G04873	AFUA_1G04873	NA	0
AFUA_1G04876	AFUA_1G04876	NA	0.4
AFUA_1G04880		NA	-0.3
AFUA_1G04890		NA	-0.8
AFUA_1G04895	AFUA_1G04895	NA	0.4
AFUA_1G04900		0.853352041299377	0.2
AFUA_1G04910		0.997772767299591	0
AFUA_1G04920		0.0482182029767177	-2.1
AFUA_1G04930		0.380941970551143	0.7
AFUA_1G04940		0.557211838416759	-0.5
AFUA_1G04950		0.783627766979311	0.2
AFUA_1G04960		0.56023524616342	0.5
AFUA_1G04970		0.187506352239585	-1.1
AFUA_1G04980		0.620235186237976	-0.4
AFUA_1G04990		0.19569992810333	0.9
AFUA_1G05000		NA	-0.4
AFUA_1G05010		NA	-0.8
AFUA_1G05020		0.905409615062516	0.2
